"Word";"Sentence"
"arremeter";"También arremetió en términos personales contra el presidente ruso."
"agregar";"""Una vez más, Sadam Husein ha cedido ante la solidaridad de la coalición."", agregó el portavoz."
"estridencia";"Dejó el asunto en manos de su secretario de prensa, y en la habitual estridencia de sus editorialistas."
"palaciego";"Mohsen, el principal portavoz palaciego, acuno ayer la ligera variación de ""la lucha honorable""."
"amedrentar";"En la capitales árabes existe cierta sospecha de que la movilización de armamento iraquí no obedecía a la supuesta intención de Sadam de poner a prueba la determinación de los aliados sino que, más bien, se trataba de amedrentar a sus enconados opositores"
"enconado";"En la capitales árabes existe cierta sospecha de que la movilización de armamento iraquí no obedecía a la supuesta intención de Sadam de poner a prueba la determinación de los aliados sino que, más bien, se trataba de amedrentar a sus enconados opositores"
"mermar";"En un ámbito más amplio se maneja la teoría de que Bagdad lo que quiere es impedir que el desafio shií y kurdo merme la confianza popular en la estabilidad del régimen autocrático."
"amasijo";"La cola y el ala derecha del Tupolev-154 se partieron en el momento del aterrizaje, con lo que los pilotos perdieron todo el control y el avión se convertió en un amasijo de chatarra"
"a quemarropa";"Alfano, de 46 anos, fue obligado a detener su vehículo por su asesino, que le disparó a quemarropa un tiro en la cabeza."
"indefectible";"Las tramas del negocio ilegal en las rías gallegas han seguido una evolución indefectible y, en cierto modo, hasta esperada."
"tiroteo";"""Nos enfrentamos a una nueva generación de narcos.."", explicó el governador de Pontevedra, tras el tiroteo del pasado domingo, que acabó con dos muertos y dos heridos."
"escurrir";"Todos los que saben lo que pasó han escurrido el bulto y han cerrado el pico."
"forcejo";"El forcejo acabó cuando uno de los integrantes del círculo que rodeaba a Letona le propinó un fuerte golpe en la cabeza con un objeto duro."
"incriminatorios";"Algunos interrogatorios en los que aparecían datos incriminatorios continuaban sin presencia de abogado...."
"el fiscal";"La Audencia de Vizcaya ha establecido el pago de una indemnización de 25 milliones de pesetas a la familia de Letona, una cantidad sensiblemente inferior a la solicitada por el fiscal y los letrados de la acusación particular."
"el letrado";"La Audencia de Vizcaya ha establecido el pago de una indemnización de 25 milliones de pesetas a la familia de Letona, una cantidad sensiblemente inferior a la solicitada por el fiscal y los letrados de la acusación particular."
"resarcimiento";"En la fijación de esta cantidad, el tribunal ha tenido en cuenta la posibilidades reales de los procesados de atender efectivamente al pago ""como medio de obtener un resarcimiento efectivo""."
"abocado";"Las psicifactorías y criaderos de Shetland, podrían verse abocados a la quiebra."
"encallar";"El petrolero de bandera liberiana encalla y amenaza con causar un gran desastre ecológico."
"las nutrias";"Las nutrias se mueren de frío si su piel se cubre de petróleo."
"estancamiento";"Las psicifactorías de la zona ya sufrían, en general, problemas financieros a causa de la recesión y el estancamiento de la demanda. El Braer ha asestado el golpe definitivo a uno de los pilares económicos de la isla."
"asestar";"Las psicifactorías de la zona ya sufrían, en general, problemas financieros a causa de la recesión y el estancamiento de la demanda. El Braer ha asestado el golpe definitivo a uno de los pilares económicos de la isla."
"terquedad";"La crisis, se ha convertido ya en un conjunto de tecnicismos legales y de una buena dosis de terquedad por ambos bandos."
"atacamiento";"EEUU han realizado intensas gestiones ante el embajador de Irak en la ONU, para conseguir que su país haga pública una declaración de atacamiento de todos los aspectos contenidos en la resoluciones de la ONU."
"dasatar";"La polémica dasatada por el avance del Plan Hidrológico Nacional ha vivido su primera refriega en Aragón."
"refriega";"La polémica dasatada por el avance del Plan Hidrológico Nacional ha vivido su primera refriega en Aragón."
"zanjar";"Parecía que el pacto del Agua, suscrito por unanimidad por todos los grupos de la Cortes aragonesas, zanjaba el contencioso."
"ápice";"""No vamos a ceder ni un ápice en esta cuestión""."
"arriates";"Los parques están secos; los árboles, sucios y los arriates de los peqenos jardines, mortalmente marchitados."
"marchitado";"Los parques están secos; los árboles, sucios y los arriates de los peqenos jardines, mortalmente marchitados."
"pericia";"La experienca ha desarrollado en Mariana, madre de tres hijos, una singular pericia."
"desasirse";"Logra desasirse del sudor calentando en dos enormes ollas el agua, con la que se rocía en la ban~era a la vieja usanza."
"triquin~elas";"Las triquin~elas para sortear la escasez son muchas:......"
"gualdrapa";
"incumbencia";
"latiguillo";
"recidiva";
"soflama";
"hemeroteca";
"insurgente";
"nepotismo";
"recoveco";
"tiento";
"hurí";
"panfleto";
"tránsfuga";
"imponderable";
"lánguido";
"pinrel";
"rescindir";
"ubicuo";
"abulia";
"aledan~o";
"faca";
"cariátide";
"fauces";
"afrenta";
"alquibla";
"mimesis";
"alcorque";
"cairel";
"ágora";
"efemérides";
"concierto";
"aval";
"fiambrera";
"tartera";
"ataviar";
"abarcar";
"abnegación";
"aborrecer";
"bordar";"Borda los personajes, sobre todo el de militar."
"antojo";"Cuando le proporcionaban carnés de conducir él se la ingeniaba para manipularlos a su antojo."
"alardear";"José Carlos Huertas alardea de conocer casi todos los sistemas de seguridad que emplean los bancos."
"esfumarse";"Antes de que los soldados observaran que su cuenta bancaria había disminuido considerablemente, el falso capitán ya se había esfumado."
"timar";"siempre quiso ser militar..... Su vocación de timador, dice, nació en respuesta a este rechazo."
"jactarse";"Se jacta de haber gastado en alguna ocasión de dos a cuatro milliones al mes, en lujos y mujeres."
"fechorías";"Como el célebre ladrón francés Arsenio Lupin, que utilizó a las mujeres para cometer sus fechorías, José Carlos Huertas también se ha servido del sexo femenino para obtener cobijo, seguridad e infraestructura."
"cobijo";"Como el célebre ladrón francés Arsenio Lupin, que utilizó a las mujeres para cometer sus fechorías, José Carlos Huertas también se ha servido del sexo femenino para obtener cobijo, seguridad e infraestructura."
"cerril";"Aunque algunos están en la frontera del racismo y muchos en la del cerrilismo, todos ponen el dedo en la misma llaga: en los barrios tomados por la droga la vida es un calvario. La indefensión de los vecinos contrasta con la impunidad de los traficantes."
"llaga";"Aunque algunos están en la frontera del racismo y muchos en la del cerrilismo, todos ponen el dedo en la misma llaga: en los barrios tomados por la droga la vida es un calvario. La indefensión de los vecinos contrasta con la impunidad de los traficantes."
"indefensión";"Aunque algunos están en la frontera del racismo y muchos en la del cerrilismo, todos ponen el dedo en la misma llaga: en los barrios tomados por la droga la vida es un calvario. La indefensión de los vecinos contrasta con la impunidad de los traficantes."
"desasosiego";"Tal eclosión de fuenteovejunas inquieta a los partidos democráticos y a las asociaciones de vecinos tradicionales, que ven con desasosiego cómo la calle se les va de las manos."
"turba";"En Almería y Madrid turbas airadas queman la chabola a unos traficantes."
"vapulear";"Enfermos de droga o sida, débiles y angustiados, no ofrecen resistencia a quienes los vapulean como peleles. Urgidos por el mono, cuando van a los barrios malditos solo tienen una obsesión: comprar la dosis que les permita seguir tirando."
"urgir";"Enfermos de droga o sida, débiles y angustiados, no ofrecen resistencia a quienes los vapulean como peleles. Urgidos por el mono, cuando van a los barrios malditos solo tienen una obsesión: comprar la dosis que les permita seguir tirando."
"san~a";"""A la mayoría de los que vivimos aquí nos han atracado"", se justifica Matías minutos antes de apalear con san~a al enésimo yonqui del día."
"jalear";"Algunos vecinos aplauden la violenta actuación de las patrullas y jalean la entrega de toxicómanos a la Policía, que no sabe qué hacer con ellos. Las  agresivas embestidas de los patrulleros se limitan a los enganchados que llegan desde la capital."
"embestidas";"Algunos vecinos aplauden la violenta actuación de las patrullas y jalean la entrega de toxicómanos a la Policía, que no sabe qué hacer con ellos. Las  agresivas embestidas de los patrulleros se limitan a los enganchados que llegan desde la capital."
"mequetrefe";"Miguel, un mequetrefe de 10 an~0s, otea los matorrales que bordean la carretera de El Prat. ""Siempre hay alguno ahí pinchándose""."
"otear";"Miguel, un mequetrefe de 10 an~0s, otea los matorrales que bordean la carretera de El Prat. ""Siempre hay alguno ahí pinchándose""."
"encarnizado";"El encarnizado vengador no entiende a los toxicómanos. ""Hay uno tan imbécil que vino el viernes y le dimos tal paliza que le tuvieron que poner varios puntos y aún volvió al día siguiente para que le golpeáramos más""."
"mercaderes";"El cura Chamizo predica allí una violencia como la que Cristo aplicó a los mercaderes del templo."
"vertedero";"De un tiempo a esta parte, Anastasia Cisneros vive en una tienda de campan~a instalada en un vertedero: es uno de los vecinos que se oponen al realojo en aquel lugar de 89 familias gitanas."
"cerril";"En la movilización hay cerrilismo y hay racismo a espuertas: ""Yo no tengo nada contra los gitanos, pero por qué no se los llevan a la Moraleja o a cualquier otra zona de lujo ?"", repiten a pin~ón fijo."
"espuerta";"En la movilización hay cerrilismo y hay racismo a espuertas: ""Yo no tengo nada contra los gitanos, pero por qué no se los llevan a la Moraleja o a cualquier otra zona de lujo ?"", repiten a pin~ón fijo."
"a piñon fijo";"En la movilización hay cerrilismo y hay racismo a espuertas: ""Yo no tengo nada contra los gitanos, pero por qué no se los llevan a la Moraleja o a cualquier otra zona de lujo ?"", repiten a piñon fijo."
"rezumir";"A nadie escapa el tinte racista que rezuman estas gestas urbanas."
"gesta";"A nadie escapa el tinte racista que rezuman estas gestas urbanas."
"desbocado";"Desde hace unos an~os el caballo galopa desbocado entre los jóvenes de esta communidad, que tiene 750 000 miembros repartidos por Espan~a. La droga está cambiando sus costumbres y menoscabando la autoridad de sus mayores."
"menoscabar";"Desde hace unos an~os el caballo galopa desbocado entre los jóvenes de esta communidad, que tiene 750 000 miembros repartidos por Espan~a. La droga está cambiando sus costumbres y menoscabando la autoridad de sus mayores."
"asentamiento";"Incluso hoy, en pleno debate nacional sobre el asunto, se habla más de las consequencias de la droga que de las causas: el desarrollo de estos an~os ha ido acompan~ado por el asentamiento de bolsas de miseria en los núcleos urbanos."
"contundente";"En Estados Unidos, donde aún tienen fresca la  memoria de la Ley Seca (la prohibición del alcohol propició la época dorada del crimen) las estrictas leyes, la contundente acción policial, las infinitas policías privadas y la obsesión nacional por la autod"
"siniestra";"En Estados Unidos, donde aún tienen fresca la  memoria de la Ley Seca (la prohibición del alcohol propició la época dorada del crimen) las estrictas leyes, la contundente acción policial, las infinitas policías privadas y la obsesión nacional por la autod"
"aldabonazo";"""A mí me da lo mismo la multa. Yo sólo quería con el bando dar un aldabonazo, romper con la apatía, crear un clima agresivo contra la droga."""
"atiborrar";"De los 30.000 presos que atiborran las cárceles espan~olas el 90 por ciento tienen que ver con la droga: por venderla o por robar, herir y matar para comprarla."
"airado";"Hoy, vecinos airados alzan el dedo acusador y dejan al sistema y a sus gobernantes con las vergüenzas al aire."
"abad";
"yantar";
"espulgar";
"esquero";
"pedernal";
"yesca";
"desempen~ar";
"decoro";
"atropellar";
"dar alas a alguien";
"engreído";
"despectivo";
"can";
"vagancia";
"acaecer";
"irrogar";
"sanar";
"hallar";
"acen~a";
"huelga";
"cohombro";
"acólito";
"tiento";
"prescindir";
"remesa";
"saldar";
"escardar";
"troj";
"mudar";
"can~amar";
"achacar";
"achaque";
"odre";
"pez";
"mascar";"Desde hace milenios, los indios de los Andes mascan coca para matar el hambre y las penas."
"arrancel";"El presidente peruano, Alan García, reclama beneficios arancelarios para los productos sustitutivos de la coca, y la apertura de canales de transporte que saquen esos productos de la selva amazónica y los sitúen en los mercados estadounidenses y europeos "
"coca";
"cocal";
"asesor";
"zurrar";
"matizar de";
"escudrin~ar";
"acorralar";
"estupefacientes";"Cada vez hay más europeos que denuncian el fracaso de la fórmula represiva para combatir los estupefacientes y proponen a cambio legalizar y controlar."
"estigmatizar";"El tema de la droga es un tramado de equívocos, tabúes, histerias, vacíos informativos y prejuicios que dificulta la reflexión y estigmatiza a quienes se apartan del pensamiento establecido."
"adalid";"En Estados Unidos varios de los adalides de la legalización proceden de la derecha política y económica, como el Premio Nobel de economía Milton Friedman."
"escan~o";"En las últimas elecciones al Parlamento Europeo se presentó un partido nuevo, la Lista Anti-prohibicionista (de la droga), que, contra todo pronóstico adverso, obtuvo un escan~o."
"arrebatar";"Nosotros creemos que el arma para combatir el tráfico y el consumo, con toda la violencia que se genera a su alrededor, es arrebatar el negocio a los traficantes."
"acarrear";"La corriente en favor de la despenalización y control acarrea cada vez más caudal."
"caudal";"La corriente en favor de la despenalización y control acarrea cada vez más caudal."
"sintonía";"El Gobierno està en igual sintonía. ""Legalizar el tráfico de ciertas drogas no implica necesariamente la eliminación del negocio económico vinculado al actual mercado ilícito"" dice ....."
"adicto";"Cuando el adicto pueda obtener dosis controladas a precio accesible, no necesitará robar, ni prostituirse para sostener su vicio."
"cortapisa";"La posibilidad de conseguir droga sin cortapisas legales podría estimular su consumo en personas que hoy se mantienen alejadas de los tóxicos por respeto a la ley."
"decomisado";"En 1988, sólo en los recintos aduaneros, fueron decomisados casi 700 Kg. de cocaína, de los que 490 se localizaron en el aeropuerto madrilen~o de Barajas."
"jaqueca";"La mayoría de los antropólogos piensan que la operación se efectuaba para permitir que el demonio causante de la jaqueca, de la locura o de la epilepsia se escapara por la puerta abierta en la cabeza de su víctima."
"cebar";"En la Edad Media se recuperaron las creencias más antiguas, sintetizadas en la frase de San Agustín: ""Todas las enfermedades de los cristianos proceden de los demonios, que se ceban en los recién bautizados o en las más inocentes criaturitas"", lo que expl"
"ubicación";"La situación ideal para operar es la existencia de un único foco en una zona accesible del cerebro. ""Hay casos en que una zona del cerebro se superpone a otra y no se tiene certeza de la ubicación"", afirma Villarejo."
"aunar";"El sistema se caracteriza por aunar los adelantos de varias ramas de la ciencia."
"lidiar";"Esperanza Martín sería un ama de casa común si no fuese porque està cansada de lidiar con su marido y sus cinco hijos varones."
"nin~o burbuja";"En Estados Unidos, el Gobierno autorizaba una experiencia de ingeniería genética en nin~os burbuja, para intentar hacerles producir la enzima necesaria para recuperar un sistema inmunitario que no funciona."
"vaticinar";"El catedrático de Genética, José Piqueras, vaticina que ""el día que sea segura, la terapia genética so será un genocidio, sino una consecuencia inevitable del progreso""."
"genoma";"Porque, por un lado, avanzar en el conocimiento del genoma hamano ayudaría a tratar, e incluso prevenir, cientos de enfermedades congénitas."
"apresurar";"Los mismos descubridores del gen de la masculinidad se apresuraron a manifestar que ""cualquier experimento que suponga manipular el material genético de un ser humano está fuera de todo debate moral razonable""."
"descabellado";"Sin embargo, y al mismo tiempo, no es descabellado pensar que un ""mercado negro de la genética"" puede empezar a funcionar con resultados imprevisibles."
"concertar";"Su abogado, Mario Gómez, niega que le hayan vendido la exclusiva de sus declaraciones a alguna revista, aunque reconoce que ha habido varias ofertas. ""Incluso una llegó más lejos y quería concertar la exclusiva del bautizo de la nin~a""."
"fallar";"Esperanza, con la deprsión reactiva que padece según sus médicos y que motivó que el juez fallase a su favor, muy posiblemente se mantendrá al margen de la polvareda que se ha levantado a su alrededor."
"polvareda";"Esperanza, con la deprsión reactiva que padece según sus médicos y que motivó que el juez fallase a su favor, muy posiblemente se mantendrá al margen de la polvareda que se ha levantado a su alrededor."
"infundir";"Y si la batalla no se libra en el espacio, tendrá lugar en un terreno de juego sobre el que los equipos infunden una filosofía pragmática de la competición: ganar sin que importen los medios."
"contundente";"Las cadenas de televisión, conscientes de la extraordinaria acogida que entre los nin~os tiene este tipo de dibujos, recurren a contundentes argumentos para llevarse al gato al agua en el voraz asalto a un público exigente pero accesible."
"arriscado";"Las dos primeras, de procedencia japoneas, tratan de un grupo de arriscados jugadores de fútbol que, según reza la canción de presentación, ""sólo juegan para ganar""."
"reza";"Las dos primeras, de procedencia japoneas, tratan de un grupo de arriscados jugadores de fútbol que, según reza la canción de presentación, ""sólo juegan para ganar""."
"arraigado";"Series como El Campeón, fomenta la competitividad, no la violencia, según Pradera. ""Además, la violencia entendida como tal está mucho más arraigada en clásicos como Tom y Jerry"", sen~ala."
"cautela";"""La cautela a la hora de sleccionar los programas es cada vez mayor, porque la acogida que han tenido los dibujos de contenidos violentos es asombrosa"", concluye."
"encandila";"Emilio aragón padre, que llevaba ocho an~os sin prestar su rostro a la pequen~a pantalla, encandila en Antena 3 a los nin~os que no le conocieron cuando presentaba El gran circo de TVE."
"imperecedero";"""Eso es lo que hace que el género infantil sea imperecedero.  Reponer series que ya tuvieron éxito hace unos an~os resulta barato y siempre gozan de la aceptación del público."
