"Sentence";"Word"
"The country needs a new breed of entrepreneurs, he scolds, lest the Mittelstand firms that form its manufacturing backbone crack.";"to scold"
"In most industrial countries, ""the suburbs"" suggest leafy calm and middle-class prosperity. In France, the banlieues - the high-rise housing estates built on greenfield sites around big cities in the 1950s and 1960s- have become a byword for deprivation a";"leafy"
"Ill as he may now be, hospitalised on October 26th with a recurrence of the heart trouble that has dogged him since the summer, President Boris Yeltsin was jaunty enough at a press conference last week, casually tweaking two unsuspecting Kremlin secretari";"to tweak"
"Happy to have set matters straight, Mr Yeltsin boarded the aeroplane waiting to whisk him to France and America. He beckoned a bemused Mr Kozyrev along.";"to bemuse"
"Happy to have set matters straight, Mr Yeltsin boarded the aeroplane waiting to whisk him to France and America. He beckoned a bemused Mr Kozyrev along.";"to beckon"
"- Happy to have set matters straight, Mr Yeltsin boarded the aeroplane waiting to whisk him to France and America. He beckoned a bemused Mr Kozyrev along.
- Monetary policy should also help whisk the dollar upwards.";"to whisk"
"This was not the first time that Mr Yeltsin had publicly rebuked a minister whom he was later to support. And, behold, the next morning brought a change of mind. Speaking off-the-cuff at a Moscow airport, Mr Yeltsin said that he would not �necessarily� be";"to speak off- the-cuff"
"This was not the first time that Mr Yeltsin had publicly rebuked a minister whom he was later to support. And, behold, the next morning brought a change of mind. Speaking off-the-cuff at a Moscow airport, Mr Yeltsin said that he would not �necessarily� be";"behold"
"This was not the first time that Mr Yeltsin had publicly rebuked a minister whom he was later to support. And, behold, the next morning brought a change of mind. Speaking off-the-cuff at a Moscow airport, Mr Yeltsin said that he would not �necessarily� be";"to rebuke (sb for sth.)"
"The truth is that even though Europe�s biggest economic problems - chronic unemployment and bloated fiscal deficits - are complicated by EMU, they are not caused by it.";"bloated"
"Ill as he may now be, hospitalised on October 26th with a recurrence of the heart trouble that has dogged him since the summer, President Boris Yeltsin was jaunty enough at a press conference last week, casually tweaking two unsuspecting Kremlin secretari";"gasp"
"One manifestation of the newly combative mood was the recent publication of a supposedly leaked document from a military think-tank";"think-tank*"
"Ill as he may now be, hospitalised on October 26th with a recurrence of the heart trouble that has dogged him since the summer, President Boris Yeltsin was jaunty enough at a press conference last week, casually tweaking two unsuspecting Kremlin secretari";"jaunty"
"Ill as he may now be, hospitalised on October 26th with a recurrence of the heart trouble that has dogged him since the summer, President Boris Yeltsin was jaunty enough at a press conference last week, casually tweaking two unsuspecting Kremlin secretari";"to dog"
"Polish privatisation has lagged behind, though its new private sector has thrived. Only the Czechs, among those at the head of the queue, have privatised swathes of their industry.";"to thrive"
"An alternative is to allow some East Europeans in when they are ready, but not to apply some of the main items of EU spending to them, keeping their snouts from the Union�s trough for a while.";"snout"
"An alternative is to allow some East Europeans in when they are ready, but not to apply some of the main items of EU spending to them, keeping their snouts from the Union�s trough for a while.";"trough"
