ID_Idiom;Idiom;Definition;Example;DateEntry;RandomNumber;Counter;Cumul;language
1; auf dem Posten sein;bereit sein;Auf ihn kann man sich verlassen. Wenn man ihn braucht, ist er immer auf dem Posten.;;800;0;0;d
2;arbeiten wie ein Pferd;Sehr schwer arbeiten;Vor dem Examen arbeitete er wie ein Pferd.;;1;0;0;d
3;auf jemanden (etwas) pfeifen;Auf j-n (etwas) keinen Wert legen oder verzichten;Wenn er mir das Buch nicht leihen will, dann pfeife ich eben darauf.;;1;0;0;d
4;dafür (darauf) gebe ich keinen Pfifferling;Dafür (darauf) gebe ich überhaupt nichts;Das Bild ist nur eine Kopie, dafür gebe ich keinen Pfifferling.- Auf das Gerede der Leute gebe ich keinen Pfifferling.;;23;0;1;d
5;ein teures Pflaster;Ein Ort, in dem man teuer lebt;Das Skiparadies St.Moritz ist ein teures Pflaster.;;1;0;0;d
6;eine bittere Pille schlucken;Etwas sehr Unangenehmes akzeptieren, sich fügen;Man hat ihn als Vereinsvorsitzenden abgewählt, aber er hat die bittere Pille mit Gelassenheit geschluckt.;;1;0;0;d
7;einen Pik au j-n haben;Einen Zorn, Groll auf j-n haben (Enstanden aus dem franz. Wort pique= Spieß);Der Chef hat einen Pik auf mich.;;1;0;0;d
8;ich pfeif´dir was;Ich tue nicht, was du willst;Du glaubst doch nicht etwa, ich werde dir nach unserem Streit noch einmal helfen. Ich pfeif´dir was !;;122;0;1;d
9;mach mir nicht die Pferde scheu;Rede nicht von Dingen, die meiner Sache schaden können.;Mach mir bitte nicht die Pferde scheu, ich glaube bestimmt an einen Erfolg.;;1;0;0;d
10;mich bringen keine zehn Pferde dorthin;Ich gehe auf keinen Fall dorthin;Keine zehn Pferde bringen mich in eine politische Versammlung.;;1;0;0;d
11;mit ihm kann man Pferde stehlen;er macht alles mit, auf ihn kann man sich unbedingt verlassen;Mit einem echten Freund kann man Pferde stehlen.;;1;0;0;d
12;platt sein;Sehr erstaunt sein;Als wir von ihrer Heirat hörten, waren wir platt;;1;0;0;d
13;seiner Phantasie die Zügel schießen lassen;Seiner Phantasie freien Lauf lassen;Man darf ihr nicht alles glauben, sie läßt oftmals ihrer Phantasie die Zügel schießen.;;348;0;1;d
14;sich aufs hohe Pferd setzen;Prahlen, angeben;Setz dich doch nicht so aufs hohe Pferd mit deinen paar Erfolgen im Sport ! Du bist auch nicht besser als andere.;;510;0;2;d
15;von der Pike auf;Von Anfang an, von der niedrigsten Stufe an;Er hat seinen Beruf von der Pike auf gelernt;;1;0;0;d
16;wie aus der Pistole geschossen;Sehr schnell;Jede Frage beantwortete er wie aus der Pistole geschossen.;;1;0;0;d
17;jemandem die Pistole auf die Brust setzen;J-n zwingen, etwas zu tun;Wenn du die Miete bis Montag nicht zahlst, setzt dir der Hauswirt die Pistole auf die Brust.;;1;0;0;d
18;alles mit Rang und Namen;Die Prominenz;Zu den Feierlichkeiten kam alles, was Rang und Namen hatte.;;1;0;0;d
19;an die Reihe kommen;Der nächste sein.;Wer kommt jetzt an die Reihe ?;;1;0;0;d
